id,text,dataset_name,category
16,"法條名稱: 第433條, 內容: 因承租人之同居人，或因承租人允許為租賃物之使用、收益之第三人，應負責之事由，致租賃物毀損、滅失者，承租人負損害賠償責任。",相關法條,使用限制與修繕維護
17,"法條名稱: 第434條, 內容: 租賃物因承租人之重大過失致失火而毀損、滅失者，承租人對於出租人負損害賠償責任。",相關法條,使用限制與修繕維護
18,"法條名稱: 第435條, 內容: 租賃關係存續中，因不可歸責於承租人之事由，致租賃物之一部滅失者，承租人得按滅失之部分，請求減少租金。前項情形，承租人就其存餘部分不能達租賃之目的者，得終止契約。",相關法條,標的物與租期約定
19,"法條名稱: 第436條, 內容: 前條規定，於承租人因第三人就租賃物主張權利，致不能為約定之使用、收益者，準用之。",相關法條,使用限制與修繕維護
20,"法條名稱: 第437條, 內容: 租賃關係存續中，租賃物如有修繕之必要，應由出租人負擔者，或因防止危害有設備之必要，或第三人就租賃物主張權利者，承租人應即通知出租人。但為出租人所已知者，不在此限。承租人怠於為前項通知，致出租人不能及時救濟者，應賠償出租人因此所生之損害。",相關法條,爭議處理與雙方義務
21,"法條名稱: 第438條, 內容: 承租人應依約定方法，為租賃物之使用、收益，無約定方法者，應以依租賃物之性質而定之方法為之。承租人違反前項之規定為租賃物之使用、收益，經出租人阻止而仍繼續為之者，出租人得終止契約。",相關法條,使用限制與修繕維護
22,"法條名稱: 第439條, 內容: 承租人應依約定日期，支付租金。無約定者，依習慣，無約定亦無習慣者，應於租賃期滿時支付之。如租金分期支付者，於每期屆滿時支付之。如租賃物之收益有季節者，於收益季節終了時支付之。",相關法條,金錢與費用相關
23,"法條名稱: 第440條, 內容: 承租人租金支付有遲延者，出租人得定相當期限，催告承租人支付租金，如承租人於其期限內不為支付，出租人得終止契約。租賃物為房屋者，遲付租金之總額，非達兩期之租額，不得依前項之規定，終止契約。其租金約定於每期開始時支付者，並應於遲延給付逾二個月時，始得終止契約。租用建築房屋之基地，遲付租金之總額，達二年之租額時，適用前項之規定。",相關法條,金錢與費用相關
24,"法條名稱: 第441條, 內容: 承租人因自己之事由，致不能為租賃物全部或一部之使用、收益者，不得免其支付租金之義務。",相關法條,金錢與費用相關
25,"法條名稱: 第442條, 內容: 租賃物為不動產者，因其價值之昇降，當事人得聲請法院增減其租金。但其租賃定有期限者，不在此限。",相關法條,金錢與費用相關
26,"法條名稱: 第443條, 內容: 承租人非經出租人承諾，不得將租賃物轉租於他人。但租賃物為房屋者，除有反對之約定外，承租人得將其一部分轉租於他人。承租人違反前項規定，將租賃物轉租於他人者，出租人得終止契約。",相關法條,租約終止與返還
27,"法條名稱: 第444條, 內容: 承租人依前條之規定，將租賃物轉租於他人者，其與出租人間之租賃關係仍為繼續。因次承租人應負責之事由所生之損害，承租人負賠償責任。",相關法條,租約終止與返還
28,"法條名稱: 第1條, 內容: 為維護人民居住權，健全租賃住宅市場，保障租賃當事人權益，發展租賃住宅服務業，特制定本條例。",相關法條,契約基本與雙方身分
29,"法條名稱: 第2條, 內容: 本條例所稱主管機關：在中央為內政部；在直轄市為直轄市政府；在縣（市）為縣（市）政府。",相關法條,契約基本與雙方身分
30,"法條名稱: 第3條, 內容: 本條例用詞，定義如下：一、租賃住宅：指以出租供居住使用之建築物。二、住宅租賃契約（以下簡稱租賃契約）：指當事人約定，一方以建築物租與他方居住使用，他方支付租金之契約。...（後略）",相關法條,契約基本與雙方身分
31,"法條名稱: 第4條, 內容: 租賃住宅有下列情形之一者，不適用本條例規定：一、供休閒或旅遊為目的。二、由政府或其設立之專責法人或機構經營管理。三、由合作社經營管理。四、租賃期間未達三十日。",相關法條,契約基本與雙方身分
32,"法條名稱: 第5條, 內容: 租賃契約出租人及承租人間視為具消費關係，適用消費者保護法相關規定。包租業與出租人間之住宅包租契約，其應約定及不得約定事項，由中央主管機關定之。前項應約定事項，其內容得包括：一、契約之重要權利義務事項。二、違反契約之法律效果。三、契約之終止權及其法律效果。四、其他與契約履行有關之重要事項。第二項不得約定事項，其內容得包括：一、限制或免除租賃當事人之一方義務或責任。二、限制或剝奪租賃當事人之一方行使權利，及加重其義務或責任。三、其他顯失公平事項。第二項之住宅包租契約條款，違反該項應約定及不得約定事項者，無效；該應約定事項未記載於契約者，仍構成契約之內容；其為口頭約定者，亦同。住宅包租契約條款，一部無效或不構成契約內容之一部，除去該部分，契約亦可成立者，該契約之其他部分，仍為有效。但對當事人之一方顯失公平者，該契約全部無效。",相關法條,契約基本與雙方身分
33,"法條名稱: 第6條, 內容: 租賃住宅之租金，由出租人與承租人約定，不適用土地法第九十七條規定。",相關法條,金錢與費用相關
34,"法條名稱: 第7條, 內容: 押金之金額，不得逾二個月之租金總額。出租人應於租賃契約消滅，承租人返還租賃住宅及清償租賃契約所生之債務時，返還押金或抵充債務後之賸餘押金。",相關法條,金錢與費用相關
35,"法條名稱: 第8條, 內容: 出租人應以合於所約定居住使用之租賃住宅，交付承租人，並應於租賃期間保持其合於居住使用之狀態。出租人應於簽訂租賃契約前，向承租人說明由出租人負責修繕項目及範圍，並提供有修繕必要時之聯絡方式。前項由出租人負責修繕者，如出租人未於承租人所定適當期限內修繕，承租人得自行修繕並請求出租人償還其費用或於約定之租金中扣除。出租人為修繕租賃住宅所為之必要行為，承租人不得拒絕。",相關法條,使用限制與修繕維護
36,"法條名稱: 第9條, 內容: 轉租人應經出租人書面同意，始得轉租其租用之住宅全部或一部。轉租人簽訂轉租契約時，應向次承租人提供前項同意轉租之書面文件，並於轉租契約載明其與出租人之租賃標的範圍、期間及得終止租賃契約之事由。轉租人應於簽訂轉租契約後三十日內，以書面通知出租人。",相關法條,租約終止與返還
37,"法條名稱: 第10條, 內容: 租賃期間發生下列情形之一者，出租人得提前終止租賃契約，且承租人不得要求任何賠償：一、承租人毀損租賃住宅或附屬設備，不為修繕或相當之賠償。二、承租人遲付租金或費用，達二個月之租額，經定相當期限催告仍拒繳。三、承租人未經出租人書面同意，將租賃住宅轉租於他人。四、出租人為重新建築而必要收回。五、其他依法律規定得提前終止租賃契約。出租人依前項規定提前終止租賃契約者，應依下列規定期限，檢附相關事證，以書面通知承租人：一、依前項第一款至第三款及第五款規定終止者，於終止前三十日。二、依前項第四款規定終止者，於終止前三個月。",相關法條,租約終止與返還
38,"法條名稱: 第11條, 內容: 租賃期間發生下列情形之一者，承租人得提前終止租賃契約，且出租人不得要求任何賠償：一、因疾病、意外產生有長期療養之需要。二、租賃住宅未合於居住使用，並有修繕之必要，經承租人定相當期限催告，而不於期限內修繕。三、因不可歸責於承租人之事由，致租賃住宅之一部滅失，且其存餘部分難以繼續居住。四、因第三人就租賃住宅主張其權利，致承租人不能為約定之居住使用。承租人死亡，繼承人得主張終止租賃契約。承租人依第一項各款或其繼承人依前項提前終止租賃契約者，應於終止前三十日，檢附相關事證，以書面通知出租人。",相關法條,租約終止與返還
39,"法條名稱: 第12條, 內容: 租賃契約消滅時，租賃住宅之返還，應由租賃當事人共同完成屋況及附屬設備之點交。一方未會同點交，經他方定相當期限催告仍不會同者，視為完成點交。前項點交後尚有遺留物，除租賃當事人另有約定外，經出租人定相當期限催告仍不取回時，視為拋棄其所有權，其所需處理費用，得由押金扣除，不足者，出租人得請求承租人給付。",相關法條,租約終止與返還
40,"法條名稱: 第13條, 內容: 出租人提供之租賃住宅廣告內容應與事實相符。受託刊登租賃住宅廣告之媒體經營者明知或可得而知廣告之租賃住宅面積、屋齡、樓層別及法定用途與事實不符者，就承租人因信賴該廣告所受之損害與出租人負連帶賠償責任；其損害賠償責任，不得預先約定限制或拋棄。前項資訊來源得以政府公開資訊、刊登者提供之謄本或建物所有權狀影本查證之。第一項及第二項廣告主為租賃住宅服務業者，應註明租賃住宅服務業者名稱。",相關法條,爭議處理與雙方義務
41,"法條名稱: 第14條, 內容: 主管機關為健全住宅租賃關係，得建立租賃住宅專業服務制度、發展租賃住宅服務產業、研究住宅租賃制度與提供住宅租賃糾紛處理及諮詢。主管機關得輔導、獎勵其他機關（構）及住宅租賃之相關團體辦理前項事務；其輔導、獎勵之對象、內容、方式及其他相關事項之辦法，由中央主管機關定之。第一項事務屬住宅法規定之經濟或社會弱勢者，應優先由服務經濟或社會弱勢者之團體辦理。",相關法條,爭議處理與雙方義務
42,"法條名稱: 第15條, 內容: 主管機關為保障租賃當事人權益，得輔導成立以出租人或承租人為會員基礎之非營利團體，提供專業諮詢、教育訓練或協助糾紛處理等相關事務。前項非營利團體，於事務執行範圍內應主動瞭解、詢問當事人有無通譯需求，並視個案需要選任通譯。非營利團體辦理第一項事務，主管機關得予以獎勵，其獎勵辦法，由中央主管機關定之。",相關法條,契約基本與雙方身分
43,"法條名稱: 第16條, 內容: 住宅租賃爭議，出租人或承租人得向直轄市或縣（市）政府申請調處，並免繳調處費用。",相關法條,爭議處理與雙方義務
44,"法條名稱: 第17條, 內容: 個人住宅所有權人將住宅委託代管業或出租予包租業轉租，契約約定供居住使用一年以上者，得依下列規定減徵租金所得稅：一、出租期間每屋每月租金收入不超過新臺幣六千元部分，免納綜合所得稅。二、出租期間每屋每月租金收入超過新臺幣六千元部分，其租金所得必要損耗及費用之減除，住宅所有權人未能提具確實證據者，依下列方式認列：（一）每屋每月租金收入超過新臺幣六千元至二萬元部分，依該部分租金收入百分之五十三計算。（二）每屋每月租金收入超過新臺幣二萬元部分，依該部分租金收入按所得稅法相關法令規定之減除標準計算。前項減徵租金所得稅規定，實施年限為五年；其年限屆期前半年，行政院得視情況延長之，並以一次為限。",相關法條,金錢與費用相關
45,"法條名稱: 第18條, 內容: 符合前條規定之租賃住宅，直轄市、縣（市）政府應課徵之地價稅及房屋稅，得予適當減徵。前項減徵之期限、範圍、基準及程序之自治條例，由直轄市、縣（市）主管機關定之，並報財政部備查。第一項減徵地價稅及房屋稅規定，實施年限為五年；其年限屆期前半年，行政院得視情況延長之，並以一次為限。",相關法條,金錢與費用相關
46,"法條名稱: 第19條, 內容: 經營租賃住宅服務業者，應向直轄市、縣（市）主管機關申請許可，並於許可後三個月內辦妥公司登記；屆期未辦妥公司登記者，由直轄市、縣（市）主管機關廢止其許可。租賃住宅服務業應於完成公司登記後六個月內繳存營業保證金、置租賃住宅管理人員及加入登記所在地之同業公會，檢附有關證明文件向直轄市、縣（市）主管機關申請租賃住宅服務業登記並領得登記證後，始得營業；屆期未辦妥登記者，由直轄市、縣（市）主管機關廢止其許可，並通知公司登記主管機關廢止其登記。租賃住宅服務業分設營業處所者，應於繳存營業保證金及置租賃住宅管理人員後，向直轄市、縣（市）主管機關申請分設營業處所登記並領得登記證，始得營業。",相關法條,契約基本與雙方身分
47,"法條名稱: 第20條, 內容: 有下列情形之一者，不得充任租賃住宅服務業之負責人；已充任者，經直轄市、縣（市）主管機關令租賃住宅服務業限期改正；屆期未改正者，廢止其許可及註銷其登記證，並通知公司登記主管機關廢止其登記：一、受破產之宣告，尚未復權。二、使用票據經拒絕往來，尚未期滿。三、經法院依消費者債務清理條例裁定開始清算程序，尚未復權。四、無行為能力、限制行為能力，或受監護或輔助宣告，尚未撤銷。五、曾犯重大刑案者，經判決有期徒刑一年以上確定，未執行完畢或赦免未滿三年。六、曾經營租賃住宅服務業，經撤銷或廢止許可，自撤銷或廢止之日起未滿一年。",相關法條,契約基本與雙方身分
48,"法條名稱: 第21條, 內容: 租賃住宅服務業原許可事項變更者，應於變更後三十日內檢附有關證明文件向直轄市、縣（市）主管機關申請變更許可。租賃住宅服務業或其分設營業處所營業後，原登記事項變更者，除所置租賃住宅管理人員之異動，依第三項規定辦理外，應於變更後三十日內檢附有關證明文件向直轄市、縣（市）主管機關申請變更登記。租賃住宅服務業及其分設營業處所營業後，所置租賃住宅管理人員異動者，應於異動之日起三十日內，造具名冊報請直轄市、縣（市）主管機關備查。",相關法條,契約基本與雙方身分
49,"法條名稱: 第22條, 內容: 租賃住宅服務業應繳存之營業保證金，超過一定金額者，得就超過部分以金融機構提供保證函擔保之。中華民國租賃住宅服務商業同業公會全國聯合會應於金融機構設置專戶儲存，並組成管理委員會負責保管。基金之孳息部分，僅得運用於健全租賃住宅服務業經營管理制度。",相關法條,金錢與費用相關
50,"法條名稱: 第23條, 內容: 營業保證基金獨立於租賃住宅服務業及其受僱人之外，除第三十一條第四項規定之情形外，不因租賃住宅服務業或其受僱人之債權債務關係而為讓與、扣押、抵銷或設定負擔。租賃住宅服務業因合併或變更組織型態時，其所繳存之營業保證金應隨之移轉。",相關法條,金錢與費用相關
51,"法條名稱: 第24條, 內容: 租賃住宅服務業無被害人依第三十一條第四項規定請求代為賠償案件而有下列情形之一者，得自事實發生日起滿一年之次日起二年內，以書面向全國聯合會請求退還原繳存之營業保證金。但不包括營業保證金之孳息：一、公司解散。二、公司變更登記後不再經營租賃住宅服務業。三、經直轄市、縣（市）主管機關撤銷或廢止許可。四、經公司登記主管機關撤銷或廢止登記。",相關法條,金錢與費用相關
52,"法條名稱: 第25條, 內容: 租賃住宅服務業應僱用具備租賃住宅管理人員資格者從事代管業務及包租業務。租賃住宅服務業應置專任租賃住宅管理人員至少一人；其分設營業處所者，每一營業處所，應置專任租賃住宅管理人員至少一人。",相關法條,契約基本與雙方身分
53,"法條名稱: 第26條, 內容: 經參加全國聯合會舉辦租賃住宅管理人員資格訓練並測驗合格者，應於取得合格證明之日起一年內向中央主管機關或其指定之機關登錄及領有租賃住宅管理人員證書，始得充任租賃住宅管理人員。",相關法條,契約基本與雙方身分
54,"法條名稱: 第27條, 內容: 有第二十條第四款、第五款情形之一者，不得充任租賃住宅管理人員。已充任者，由中央主管機關撤銷或廢止其證書及公告，並註銷其登錄。",相關法條,契約基本與雙方身分
55,"法條名稱: 第28條, 內容: 代管業應與委託人簽訂委託管理租賃住宅契約書後，始得執行租賃住宅管理業務。代管業不得委託他代管業執行租賃住宅管理業務。",相關法條,契約基本與雙方身分
56,"法條名稱: 第29條, 內容: 包租業應經出租人同意轉租其租賃住宅並與其簽訂租賃契約書後，始得刊登廣告及執行業務。包租業與次承租人簽訂契約時，應提供住宅租賃標的現況確認書與轉租同意書，並於契約書載明租賃範圍、租賃期間及得終止契約事由。",相關法條,契約基本與雙方身分
57,"法條名稱: 第30條, 內容: 包租業轉租後，出租人提前終止契約時，應通知次承租人並協調返還住宅、退還預收租金及押金，並協助次承租人另行承租其他租賃住宅。",相關法條,租約終止與返還
58,"法條名稱: 第31條, 內容: 因可歸責於租賃住宅服務業之事由不能履行契約，致當事人受損害時，由租賃住宅服務業負賠償責任。",相關法條,爭議處理與雙方義務
59,"法條名稱: 第32條, 內容: 下列文件應由專任租賃住宅管理人員簽章：一、委託管理租賃住宅契約書。二、租賃契約書。三、住宅租賃標的現況確認書。四、屋況與附屬設備點交證明文件。五、租金、押金及相關費用收據。六、退還租金、押金證明。",相關法條,契約基本與雙方身分
60,"法條名稱: 第33條, 內容: 租賃住宅服務業應於營業處所明顯之處及網站揭示下列資訊：一、登記證。二、同業公會會員證書。三、租賃住宅管理人員證書。四、代管費用收取基準與方式。",相關法條,契約基本與雙方身分
61,"法條名稱: 第34條, 內容: 應於訂約三十日內將租賃資訊提供主管機關；包租業另須申報轉租資訊。",相關法條,契約基本與雙方身分
62,"法條名稱: 第35條, 內容: 主管機關檢查租賃住宅服務業業務，業者不得規避、妨礙或拒絕。",相關法條,爭議處理與雙方義務
63,"法條名稱: 第36條, 內容: 未依法取得登記證經營者，主管機關應禁止其營業並處罰鍰，情節重大得勒令歇業。",相關法條,爭議處理與雙方義務
64,"法條名稱: 第37條, 內容: 租賃住宅服務業違反特定條款者，處新臺幣一萬至五萬元罰鍰，並限期改正。",相關法條,爭議處理與雙方義務
65,"法條名稱: 第38條, 內容: 租賃住宅服務業違反執業規範者，處新臺幣六千至三萬元罰鍰，並限期改正。",相關法條,爭議處理與雙方義務
66,"法條名稱: 第38-1條, 內容: 違反中央主管機關規定之租賃契約應記載或不得記載事項，處三萬至五十萬元罰鍰，並得按次處罰。",相關法條,爭議處理與雙方義務
67,"法條名稱: 第38-2條, 內容: 未依規定申報租金資訊或申報不實者，處新臺幣一萬至五萬元罰鍰。",相關法條,爭議處理與雙方義務
68,"法條名稱: 第39條, 內容: 未依規定變更登記、專任人員異動未報備者，處新臺幣六千至三萬元罰鍰。",相關法條,爭議處理與雙方義務
69,"法條名稱: 第40條, 內容: 本條例施行前已營業者，得繼續營業二年；期滿未完成登記不得繼續營業。",相關法條,契約基本與雙方身分
70,"法條名稱: 第41條, 內容: 本條例施行前已執業者，得繼續執業二年；期滿未領證者不得繼續執業。",相關法條,契約基本與雙方身分
71,"法條名稱: 第42條, 內容: 外國人得參訓並取得證書，成為租賃住宅管理人員。執業文件須使用中文，惟當事人不諳者得附通曉語言版本。",相關法條,契約基本與雙方身分
72,"法條名稱: 第43條, 內容: 全國聯合會未成立前，其應辦業務由中央主管機關指定機關辦理。",相關法條,契約基本與雙方身分
73,"法條名稱: 第44條, 內容: 主管機關得收取登記證核發等規費。",相關法條,金錢與費用相關
74,"法條名稱: 第45條, 內容: 本條例施行細則，由中央主管機關定之。",相關法條,契約基本與雙方身分
75,"法條名稱: 第46條, 內容: 本條例自公布後六個月施行。修正條文，除另定施行日期者外，自公布日施行。",相關法條,契約基本與雙方身分
76,Q:租期內房東可否調整租金？A:租賃期間內房東不得藉任何理由要求「調漲」租金！，但若房東願意「調降」租金則不受限制,常見問答集,金錢與費用相關
77,Q:承租房屋後，房屋或設備有所損壞，應由何人負責修繕？A:原則上是房東修繕(租賃雙方沒有特別約定時、損壞係因自然耗損或正常使用所致)，有例外情況為房客修繕(租賃雙方約定由房客負責修繕、損壞是由房客所造成),常見問答集,使用限制與修繕維護
78,Q:搬進去時所附的設備是正常的，可是沒多久卻不能使用了，該由誰來負責維修？A:(參照民法429條)原則上若租出去的房屋在房客正常使用下因日久耗損而有 毀損或不能使用時，例如屋頂漏水、水管不通、燈具基座腐蝕等等，房東都有義務予以修復，以利房客居住使用。 若照民法來講，修繕範圍應涵蓋所有租賃物品的維修，大致房子的硬體結構小致燈泡的換新，都應該由房東負責，但若連日常使用的燈泡換新等消耗性設備都要由房東親自出馬，對於租賃關係的維繫上，很可能造成一些影響。 所以若發生設備忽然無法使用的狀況，可以先評估造成無法使用的原因，是否自己操作不當所造成？是否只是小小零件自己修復即可 ？還是因設備老舊而造成的毀損？待查明原因釐清責任後，再與房東做溝通，應能較易達成共識並儘速解決問題。 總之，為了避免修繕責任認定發生爭議，建議雙方簽約時，在契約上註明設備的使用現況以及修繕責任歸屬清單，這樣才可以減少修繕糾紛的發生。,常見問答集,使用限制與修繕維護
79,Q:幾個月前發現浴室有些微漏水現象，原本不以為意，沒想到最近漏水的現象愈演愈烈，通知房東來修，房東卻要我們負擔一半的費用，合理嗎？A:租賃物之修繕是房東之義務，但對於租賃物的保管，房客也是有責任的。房客承租房屋，對於租賃物須善盡善良管理人之義務，也就說不但要維持房子的正常使用狀況(不故意破壞污損房屋、變更房屋結構….)，也要盡到危害通知的義務。 當發現房屋有需要修繕的狀況，要盡早告知房東，並和房東約定在一定期間內（如：一星期、半個月，不要用儘速、近期等不確定字眼）過來修理，以免災害擴大，反而需要賠償房東所受的損失。（ 請參考民法第430條-432條）,常見問答集,使用限制與修繕維護
80,Q:已告知房東有設備需要修繕，但對方一直遲遲未處理，該怎麼辦？A:民法第430條：「租賃關係存續中，租賃物如有修繕之必要，應由出 租人負擔者，承租人得定相當期限，催告出租人修繕。如出租人於其期限內不為修繕者，承租人得終止契約或自行修繕而請求出租人 償還其費用，或於租金中扣除之。」 通常碰到需維修的狀況時，大都會先以口頭上通知房東前來修繕， 但當發現房東有拒絕或是拖延不來處理時，這時就可以寫存證信函告知房東前來修繕（存證信函範例），若房東仍是不予理會，在約定期限過了後，房客可以根據民法第430條要求終止租約或是自行修 繕。若房東願意由您自行修繕處理，建議您，在請人修繕前最好還是先行估價，將費用告知房東，以避免因對修繕費用認知有差距， 讓房東拒絕支付而產生糾紛。在修繕完成後，則須備齊所有憑證以便對房東報帳，進行租金扣抵。 建議：修繕問題一直是糾紛最多的一項問題，提醒房客在事前訂約即能約定清楚責任歸屬，在發生問題時，能盡量做好溝通並達成協議，切記勿以惡言相向，以免雙方關係破裂，影響日後彼此互動關係。,常見問答集,使用限制與修繕維護
81,Q:雙方的修繕責任該要如何簽定在契約書中？A:大概可區分幾種修繕部份— 房屋硬體結構部份：如隔間、牆壁、支柱等等傢俱、設備部份：如沙發、桌椅、電視、冰箱…. 消耗性器材：如燈炮、燈管、水龍頭內橡皮……. 對於需維修的部份，最好能名列出是何種設備及哪些部份，再來區分責任；必要時可再利用拍照存證，當成簽約時的附件。,常見問答集,使用限制與修繕維護
82,Q:租約快到了，跟房東打算不再續約，最近房東不斷的帶著新的房客進來看屋，這樣可以嗎？A:民法第421條：稱租賃者，謂當事人約定，一方以物租與他方使用、收益，他方支付租金之契約。換句話說，房東將房屋出租，即表示需按照契約中明定的承租範圍交予房客使用，房東是不能再以”這間房子是我的”為由要求房客無條件地開放門戶讓自己能自由出入。建議應以彼此尊重之方式，事先聯絡、溝通，在房客同意或約定在場之時間，以進入租屋，避免紛爭。,常見問答集,使用限制與修繕維護
83,Q:房客可以自行換鎖嗎？但房東說為了安全起見，以防萬一有突發狀況 ，想留有一份備份鑰匙，以備不時之需可以使用，房客可以拒絕嗎？A:房客承租房子後，除非雙方有特別的規定，是可以自行換鎖的。但有時房東會擔心房客（尤其是在學生）忘了關水電瓦斯或是有什麼突發狀況，不放心的想進去巡巡看看，所以會要求留有一支備份鑰匙，當然，房客是可以拒絕房東留有備份鑰匙的權利，但房客最好能提供讓房東安心的保證，將房東的房子視做自己的家般的維護， 房東的擔心害怕若能減少，就不會一再的要求要去巡視才放心。不過記得在契約期滿將房子返還給房東時，要將之前所換過的門鎖回復原狀。,常見問答集,使用限制與修繕維護
84,Q:押金上限為何？A:押金最多不得超過2個月房租的總額。如果超過者，房客得要求以超過的部分抵付房租。,常見問答集,金錢與費用相關
85,Q:房客應於何時支付押金？A:房客應於簽訂租賃契約之同時，支付押金給房東。,常見問答集,金錢與費用相關
86,Q:房東為什麼要收押金？A:押金之用途在於，若房客於租屋期間有積欠租金、水電費、瓦斯費、管理費；或因為可歸責於房客的原因造成房屋或設備損壞；或房客有提前終止租約等違約情形時，房東就可以由押金中扣抵，以保障本身權益。,常見問答集,金錢與費用相關
87,Q:房東應於何時返還押金？A:租賃期滿或租賃契約提前終止，如果房客沒有欠費、毀損或其他違約情形，房東就應該在房客交還房屋時將押金無息返還給房客。,常見問答集,金錢與費用相關
88,Q:定金、押金、租金三者有什麼不同？A:定金：是契約履行前的一種承諾，通常是在看屋後房客有意承租，房東亦願出租給他，房客會預先付給房東一定數量的金額， 用來肯定雙方均會履行租約的一種承諾。民法第248條規定：「訂約當事人之一方，由他人受有定金時，推定其契約成立。」 押金：在法律上正式名稱為『押租金』，而通常一般又稱之為押金、保證金、擔保金…等，其目的是為了擔保房客租金的 給付、房客對房子所造成損害的賠償，以及在租約期滿時房客按時返還房子。 租金：向房東承租房子，必須定期支付的金額，直到租期期滿為止，通常有每月一付、每季一付、每學期一付等等定期支付方式。,常見問答集,金錢與費用相關
89,Q:押金、定金各該收多少才合理？A:定金：定金支付並無法定的上下限，通常房東會自訂金額請房客 支付。有的房東會要求定金多至數萬元少至僅收5佰、1仟 元。其實對承租的行為而言，不論定金的多少都是代表一 種承諾，應依雙方租賃意願多強而決定數額，否則如有一 方反悔， 依民法第249條視錯在那一方，他方得請求沒收或 加倍返還。 押金：雖然一般民間偶有收三個月押金甚至更高之習慣，但依據 土地法第99條的規定，押金不得超過租金的二倍（即二個 月相當金額），超過的部分房客有權利對房東主張用來抵 付房租。不過，在實際運用上，房客行使抵付房租之權利 時，應先向房東知會、與房東妥善溝通，避免紛爭。,常見問答集,金錢與費用相關
90,Q:付定金時該注意什麼？A:房客所付的定金除了另有約定外，在履行契約時定金應可返還或可做為租 金或押金的一部份，因此繳交定金時請千萬記得，請房東簽收據(訂金收據 範本)，註明所支付的定金金額、收款及付款人雙方姓名、身分證字號、定金保留期限、違反約定之賠償方式等，以避免任何一方發生付訂拒租卻又 求償無門的情形。,常見問答集,金錢與費用相關
